date,open,high,low,close,volume,Name
2017-08-08,2044.0,2067.99,2035.11,2049.0,830572,PCLN
2017-08-07,2034.73,2044.51,2022.0,2042.64,402270,PCLN
2017-07-27,2040.05,2043.95,1996.0,2025.09,487467,PCLN
2017-08-01,2040.09,2041.49,2017.01,2024.59,371412,PCLN
2017-07-28,2026.47,2040.63,2007.97,2024.06,505472,PCLN
2017-07-26,2019.24,2037.0,2017.56,2033.21,311753,PCLN
2017-08-04,2031.02,2035.47,2020.29,2032.77,333534,PCLN
2017-07-31,2030.0,2033.0,2010.24,2028.5,503331,PCLN
2017-08-03,2020.97,2030.0,2012.55,2027.98,430926,PCLN
2017-08-02,2023.45,2025.5,2000.0,2021.37,354292,PCLN
2017-07-25,2004.69,2023.37,1995.35,2016.91,331163,PCLN
2017-07-20,2000.48,2008.65,1993.16,1999.22,342482,PCLN
2017-07-24,1994.9,2005.09,1992.45,2002.01,261742,PCLN
2017-07-21,1993.52,2002.85,1990.18,1994.89,232908,PCLN
2017-07-19,1981.18,1999.0,1980.42,1992.1,361598,PCLN
2017-07-18,1949.0,1989.04,1948.26,1976.24,504848,PCLN
2018-01-24,1977.91,1984.94,1942.65,1955.24,405271,PCLN
2018-01-25,1966.88,1976.6,1945.47,1949.67,330213,PCLN
2018-01-23,1927.55,1969.36,1924.99,1962.94,472045,PCLN
2018-01-26,1960.99,1964.96,1944.96,1950.48,380498,PCLN
2017-10-18,1935.69,1961.45,1933.99,1941.87,413042,PCLN
2018-01-29,1942.67,1960.46,1921.25,1929.23,449076,PCLN
2017-10-23,1950.0,1959.99,1931.28,1934.55,360930,PCLN
2018-01-17,1927.55,1958.96,1918.68,1949.9,516066,PCLN
2018-01-18,1948.65,1957.49,1925.97,1926.71,398621,PCLN
2017-07-17,1949.11,1955.69,1938.44,1945.46,264664,PCLN
2017-07-14,1949.47,1955.62,1942.88,1950.87,302764,PCLN
2017-07-12,1939.22,1951.4,1937.0,1946.18,345043,PCLN
2017-07-13,1950.0,1950.0,1934.73,1940.7,291328,PCLN
2018-01-16,1930.71,1949.83,1914.96,1919.47,604897,PCLN
2017-10-20,1941.78,1946.89,1937.46,1942.11,307539,PCLN
2017-10-24,1938.39,1946.68,1927.59,1932.29,342509,PCLN
2017-10-26,1937.35,1945.0,1931.01,1939.29,378062,PCLN
2017-10-16,1940.0,1944.99,1922.5,1935.55,224996,PCLN
2017-10-10,1938.08,1943.5,1911.9,1916.65,341526,PCLN
